NU_ANO_CENSO;NO_REGIAO_IES;CO_REGIAO_IES;NO_UF_IES;SG_UF_IES;CO_UF_IES;NO_MUNICIPIO_IES;CO_MUNICIPIO_IES;IN_CAPITAL_IES;NO_MESORREGIAO_IES;CO_MESORREGIAO_IES;NO_MICRORREGIAO_IES;CO_MICRORREGIAO_IES;TP_ORGANIZACAO_ACADEMICA;TP_REDE;TP_CATEGORIA_ADMINISTRATIVA;IN_COMUNITARIA;IN_CONFESSIONAL;NO_MANTENEDORA;CO_MANTENEDORA;CO_IES;NO_IES;SG_IES;DS_ENDERECO_IES;DS_NUMERO_ENDERECO_IES;DS_COMPLEMENTO_ENDERECO_IES;NO_BAIRRO_IES;NU_CEP_IES;QT_TEC_TOTAL;QT_TEC_FUNDAMENTAL_INCOMP_FEM;QT_TEC_FUNDAMENTAL_INCOMP_MASC;QT_TEC_FUNDAMENTAL_COMP_FEM;QT_TEC_FUNDAMENTAL_COMP_MASC;QT_TEC_MEDIO_FEM;QT_TEC_MEDIO_MASC;QT_TEC_SUPERIOR_FEM;QT_TEC_SUPERIOR_MASC;QT_TEC_ESPECIALIZACAO_FEM;QT_TEC_ESPECIALIZACAO_MASC;QT_TEC_MESTRADO_FEM;QT_TEC_MESTRADO_MASC;QT_TEC_DOUTORADO_FEM;QT_TEC_DOUTORADO_MASC;IN_ACESSO_PORTAL_CAPES;IN_ACESSO_OUTRAS_BASES;IN_ASSINA_OUTRA_BASE;IN_REPOSITORIO_INSTITUCIONAL;IN_BUSCA_INTEGRADA;IN_SERVICO_INTERNET;IN_PARTICIPA_REDE_SOCIAL;IN_CATALOGO_ONLINE;QT_PERIODICO_ELETRONICO;QT_LIVRO_ELETRONICO;QT_DOC_TOTAL;QT_DOC_EXE;QT_DOC_EX_FEMI;QT_DOC_EX_MASC;QT_DOC_EX_SEM_GRAD;QT_DOC_EX_GRAD;QT_DOC_EX_ESP;QT_DOC_EX_MEST;QT_DOC_EX_DOUT;QT_DOC_EX_INT;QT_DOC_EX_INT_DE;QT_DOC_EX_INT_SEM_DE;QT_DOC_EX_PARC;QT_DOC_EX_HOR;QT_DOC_EX_0_29;QT_DOC_EX_30_34;QT_DOC_EX_35_39;QT_DOC_EX_40_44;QT_DOC_EX_45_49;QT_DOC_EX_50_54;QT_DOC_EX_55_59;QT_DOC_EX_60_MAIS;QT_DOC_EX_BRANCA;QT_DOC_EX_PRETA;QT_DOC_EX_PARDA;QT_DOC_EX_AMARELA;QT_DOC_EX_INDIGENA;QT_DOC_EX_COR_ND;QT_DOC_EX_BRA;QT_DOC_EX_EST;QT_DOC_EX_COM_DEFICIENCIA
2024;Centro-Oeste;5;Mato Grosso;MT;51;Cuiabá;5103403;1;Centro-Sul Mato-grossense;4;Cuiabá;17;1;1;1;0;0;FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO;1;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Avenida Fernando Correa da Costa;2367;Cidade Universitária;Boa Esperança;78060900;1297;8;1;2;9;21;57;66;84;338;329;179;116;56;31;1;0;1;1;1;1;1;1;0;31252;1791;1791;881;910;0;62;69;242;1418;1733;1429;304;58;0;53;149;313;361;308;227;163;217;1144;89;506;44;7;1;1757;34;38
2024;Centro-Oeste;5;Distrito Federal;DF;53;Brasília;5300108;1;Distrito Federal;1;Brasília;1;1;1;1;0;0;FUNDACAO UNIVERSIDADE DE BRASILIA;2;2;UNIVERSIDADE DE BRASÍLIA;UNB;Campus Universitário Darcy Ribeiro;s/n;-;Asa Norte;70910900;3051;1;0;2;20;96;113;207;225;777;709;416;274;130;81;1;0;1;1;1;1;1;1;441;13095;2799;2799;1288;1511;0;8;18;218;2555;2645;2321;324;154;0;26;116;296;484;485;410;353;629;1954;110;626;66;11;32;2666;133;9
2024;Nordeste;2;Sergipe;SE;28;São Cristóvão;2806701;0;Leste Sergipano;3;Aracaju;11;1;1;1;0;0;FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE;3;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Avenida Marechal Rondon;s/n;-;Jardim Rosa Elze;49100000;1759;0;21;7;12;141;114;309;242;268;181;221;135;66;42;1;0;1;1;1;1;1;1;40208;40990;1809;1809;871;938;0;134;0;184;1491;1690;1462;228;119;0;34;135;234;365;351;264;213;213;270;44;333;12;1;1149;1782;27;7
2024;Norte;1;Amazonas;AM;13;Manaus;1302603;1;Centro Amazonense;3;Manaus;7;1;1;1;0;0;FUNDACAO UNIVERSIDADE DO AMAZONAS;4;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Av. Rodrigo Otávio;6200;Unidade Sede;Coroado II;69077000;1358;4;1;2;8;44;53;99;144;358;265;180;128;38;34;1;0;1;1;0;1;1;1;41;8553;1818;1818;828;990;0;25;171;451;1171;1695;1156;539;123;0;48;131;268;310;287;247;252;275;135;20;1514;5;2;142;1817;1;0
2024;Nordeste;2;Piauí;PI;22;Teresina;2211001;1;Centro-Norte Piauiense;2;Teresina;3;1;1;1;0;0;FUNDACAO UNIVERSIDADE FEDERAL DO PIAUI;14054;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Campus Universitário Ministro Petrônio Portela;s/n;SG - 07;Ininga;64049550;1235;2;10;1;18;122;151;70;84;241;207;143;103;46;37;1;0;1;1;1;1;1;1;48000;348;1495;1495;724;771;2;4;61;227;1201;1404;1223;181;91;0;14;116;233;295;249;175;151;262;179;47;299;3;1;966;1495;0;0
2024;Sudeste;3;Minas Gerais;MG;31;Ouro Preto;3146107;0;Metropolitana de Belo Horizonte;7;Ouro Preto;33;1;1;1;0;0;UNIVERSIDADE FEDERAL DE OURO PRETO;6;6;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;Rua Diogo de Vasconcelos;122;-;Centro;35400000;729;4;24;2;26;18;55;37;66;91;119;113;99;47;28;1;0;1;1;0;1;1;1;60;28969;885;885;359;526;0;0;14;76;795;873;818;55;12;0;0;36;131;212;190;101;107;108;435;25;176;5;3;241;884;1;0
2024;Sudeste;3;São Paulo;SP;35;São Carlos;3548906;0;Araraquara;5;São Carlos;25;1;1;1;0;0;FUNDACAO UNIVERSIDADE FEDERAL DE SAO CARLOS;1302;7;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;Via Washington  Luis;Km 235;S/Nº;Monjolinho;13565905;957;10;19;7;9;6;36;53;72;180;165;143;106;84;67;1;0;1;1;0;1;1;1;49000;461889;1356;1356;605;751;0;0;3;56;1297;1269;1247;22;87;0;0;27;117;271;264;210;182;285;825;14;76;32;0;409;1328;28;9
2024;Sudeste;3;Minas Gerais;MG;31;Viçosa;3171303;0;Zona da Mata;12;Viçosa;62;1;1;1;0;0;UNIVERSIDADE FEDERAL DE VICOSA;15588;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Av. P.H. Rolfs;s/n;Campus Universitário;Campus Universitário;36570000;1899;4;57;0;13;12;205;89;141;271;516;246;196;86;63;1;0;1;1;0;1;1;1;0;89170;1307;1307;533;774;0;8;20;101;1178;1264;1201;63;43;0;23;97;199;281;231;142;139;195;991;23;260;14;3;16;1281;26;0
2024;Sul;4;Paraná;PR;41;Londrina;4113700;0;Norte Central Paranaense;3;Londrina;11;1;1;2;0;0;SECRETARIA DE ESTADO DA CIENCIA, TECNOLOGIA E ENSINO SUPERIOR - SETI;37;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Rodovia Celso Garcia Cid Pr 445 Km 380;-;UEL - CAMPUS UNIVERSITÁRIO;Campus Universitário;86057970;634;0;1;1;0;145;166;46;79;100;9;25;35;8;19;1;0;1;1;0;1;1;1;0;2478;1623;1623;861;762;0;3;51;256;1313;1060;891;169;562;1;33;131;201;252;253;261;230;262;1345;26;123;79;1;49;1605;18;45
2024;Sul;4;Paraná;PR;41;Curitiba;4106902;1;Metropolitana de Curitiba;10;Curitiba;37;1;2;5;1;1;ASSOCIACAO PARANAENSE DE CULTURA - APC;10;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Rua Imaculada Conceição;1155;-;Prado Velho;80215901;926;0;1;1;3;183;129;265;146;102;54;20;16;4;2;1;0;1;1;1;1;1;1;34000;31000;1343;1343;601;742;0;0;22;510;811;472;0;472;706;165;17;101;196;238;222;188;166;215;1199;17;79;47;1;0;1335;8;18
